src_id,tile_id,object_id,ra,dec,plate_id
tile_RA10.847_DECp30.798:2169,tile_RA10.847_DECp30.798,2169,11.2799085346,30.7352982031,XE293
tile_RA10.847_DECp31.798:823,tile_RA10.847_DECp31.798,823,11.047333328,31.5463967991,XE293
tile_RA10.847_DECp31.798:1238,tile_RA10.847_DECp31.798,1238,10.6753817988,31.6666406538,XE293
tile_RA10.847_DECp31.798:1669,tile_RA10.847_DECp31.798,1669,11.1488770001,32.1825439365,XE293
tile_RA10.847_DECp31.798:2349,tile_RA10.847_DECp31.798,2349,11.4289217128,31.7347295132,XE293
tile_RA10.847_DECp31.798:2612,tile_RA10.847_DECp31.798,2612,11.2565019952,31.9403040051,XE293
tile_RA100.074_DECp39.877:2524,tile_RA100.074_DECp39.877,2524,99.9501243261,39.6844107467,XE205
tile_RA100.074_DECp41.877:3859,tile_RA100.074_DECp41.877,3859,99.7083590263,41.8611992054,XE205
tile_RA100.074_DECp41.877:4981,tile_RA100.074_DECp41.877,4981,100.5698932363,41.9929217771,XE205
tile_RA100.074_DECp42.877:5750,tile_RA100.074_DECp42.877,5750,100.1813356849,43.0297589265,XE205
tile_RA100.074_DECp42.877:6377,tile_RA100.074_DECp42.877,6377,100.3482200076,43.3190368503,XE205
tile_RA100.074_DECp43.877:1015,tile_RA100.074_DECp43.877,1015,100.1677699036,43.5059762574,XE205
tile_RA100.236_DECp58.851:2494,tile_RA100.236_DECp58.851,2494,100.6700012073,58.8205921412,XE087
tile_RA100.236_DECp58.851:3258,tile_RA100.236_DECp58.851,3258,99.6039293034,59.1203621803,XE087
tile_RA100.236_DECp58.851:3438,tile_RA100.236_DECp58.851,3438,101.0434413875,59.0887692451,XE087
tile_RA100.434_DECp33.871:7364,tile_RA100.434_DECp33.871,7364,100.6674333104,34.1998869612,XE254
tile_RA100.805_DECp24.879:4054,tile_RA100.805_DECp24.879,4054,100.7936066151,24.6663968125,XE363
tile_RA101.354_DECp53.909:2415,tile_RA101.354_DECp53.909,2415,100.9573352396,53.8341983724,XE121
tile_RA101.354_DECp53.909:4744,tile_RA101.354_DECp53.909,4744,102.1150898359,54.0146709066,XE121
tile_RA101.417_DECp41.877:2585,tile_RA101.417_DECp41.877,2585,101.1738411461,41.7324470693,XE205
tile_RA101.668_DECp34.871:782,tile_RA101.668_DECp34.871,782,101.6449450091,34.4821628404,XE254
tile_RA101.668_DECp34.871:1188,tile_RA101.668_DECp34.871,1188,101.3178824998,34.5407718303,XE254
tile_RA101.668_DECp35.871:5855,tile_RA101.668_DECp35.871,5855,101.2404037408,35.9634014932,XE254
tile_RA101.748_DECp47.813:3864,tile_RA101.748_DECp47.813,3864,102.0887895714,47.8685561183,XE161
tile_RA101.748_DECp47.813:6405,tile_RA101.748_DECp47.813,6405,102.0340602274,48.2535529579,XE161
tile_RA101.761_DECm6.180:10293,tile_RA101.761_DECm6.180,10293,101.7956892419,-6.1938239448,XE661
tile_RA101.856_DECm0.181:269,tile_RA101.856_DECm0.181,269,101.9845763958,-0.6620445141,XE601
tile_RA102.010_DECp17.818:3102,tile_RA102.010_DECp17.818,3102,101.8520748177,17.5248478898,XE421
tile_RA102.010_DECp17.818:13945,tile_RA102.010_DECp17.818,13945,101.8891585332,18.1873203912,XE421
tile_RA102.123_DECp29.878:4586,tile_RA102.123_DECp29.878,4586,101.8747603579,29.8323894049,XE307
tile_RA102.227_DECp57.851:1022,tile_RA102.227_DECp57.851,1022,101.7669937434,57.5951394878,XE087
tile_RA102.227_DECp57.851:1453,tile_RA102.227_DECp57.851,1453,101.957600593,57.6972773939,XE087
