tile_id,tile_path,plate_id,rows_in_tile_filtered_csv,rows_emitted_to_S0,skipped_delta,notes
tile_RA10.235_DECp66.783,data/tiles/tile_RA10.235_DECp66.783,XE051,2,2,0,
tile_RA10.235_DECp67.783,data/tiles/tile_RA10.235_DECp67.783,XE051,0,0,0,missing survivors csv
tile_RA10.507_DECp46.796,data/tiles/tile_RA10.507_DECp46.796,XE150,2,2,0,
tile_RA10.507_DECp47.796,data/tiles/tile_RA10.507_DECp47.796,XE150,1,1,0,
tile_RA10.507_DECp48.796,data/tiles/tile_RA10.507_DECp48.796,XE150,0,0,0,
tile_RA10.507_DECp49.796,data/tiles/tile_RA10.507_DECp49.796,XE150,1,1,0,
tile_RA10.507_DECp50.796,data/tiles/tile_RA10.507_DECp50.796,XE150,2,2,0,
tile_RA10.608_DECp24.800,data/tiles/tile_RA10.608_DECp24.800,XE349,5,5,0,
tile_RA10.828_DECp41.798,data/tiles/tile_RA10.828_DECp41.798,XE193,0,0,0,missing survivors csv
tile_RA10.828_DECp42.798,data/tiles/tile_RA10.828_DECp42.798,XE193,1,1,0,
tile_RA10.828_DECp43.798,data/tiles/tile_RA10.828_DECp43.798,XE193,0,0,0,missing survivors csv
tile_RA10.847_DECp29.798,data/tiles/tile_RA10.847_DECp29.798,XE293,0,0,0,missing survivors csv
tile_RA10.847_DECp30.798,data/tiles/tile_RA10.847_DECp30.798,XE293,3,3,0,
tile_RA10.847_DECp31.798,data/tiles/tile_RA10.847_DECp31.798,XE293,5,5,0,
tile_RA100.070_DECp11.901,data/tiles/tile_RA100.070_DECp11.901,XE480,0,0,0,missing survivors csv
tile_RA100.074_DECp39.877,data/tiles/tile_RA100.074_DECp39.877,XE205,1,1,0,
tile_RA100.074_DECp40.877,data/tiles/tile_RA100.074_DECp40.877,XE205,0,0,0,missing survivors csv
tile_RA100.074_DECp41.877,data/tiles/tile_RA100.074_DECp41.877,XE205,2,2,0,
tile_RA100.074_DECp42.877,data/tiles/tile_RA100.074_DECp42.877,XE205,2,2,0,
tile_RA100.074_DECp43.877,data/tiles/tile_RA100.074_DECp43.877,XE205,1,1,0,
tile_RA100.218_DECp17.901,data/tiles/tile_RA100.218_DECp17.901,XE420,0,0,0,missing survivors csv
tile_RA100.236_DECp58.851,data/tiles/tile_RA100.236_DECp58.851,XE087,3,3,0,
tile_RA100.236_DECp59.851,data/tiles/tile_RA100.236_DECp59.851,XE087,0,0,0,missing survivors csv
tile_RA100.236_DECp60.851,data/tiles/tile_RA100.236_DECp60.851,XE087,0,0,0,missing survivors csv
tile_RA100.434_DECp33.871,data/tiles/tile_RA100.434_DECp33.871,XE254,1,1,0,
tile_RA100.434_DECp34.871,data/tiles/tile_RA100.434_DECp34.871,XE254,0,0,0,missing survivors csv
tile_RA100.434_DECp35.871,data/tiles/tile_RA100.434_DECp35.871,XE254,0,0,0,
