src_id,ra,dec
tile_RA20.893_DECp5.764:624,20.6154194432,5.6517597984
tile_RA20.893_DECp5.764:1579,20.8507033427,5.7633740017
tile_RA20.893_DECp6.764:884,20.6114901227,7.1395684852
tile_RA20.893_DECp6.764:1145,21.0791878833,7.0314961624
tile_RA20.893_DECp6.764:1450,21.140857787,6.8434052017
tile_RA20.893_DECp7.764:509,21.3152452932,7.5768614279
tile_RA20.893_DECp7.764:1111,20.7354488052,8.0182395311
tile_RA20.940_DECp11.764:1084,21.1589083127,12.1035434502
tile_RA20.940_DECp11.764:1256,20.8405357403,12.009934321
tile_RA20.940_DECp12.764:863,21.07631916,13.1639362677
tile_RA20.940_DECp12.764:1232,21.0482097357,12.7024531414
tile_RA20.940_DECp13.764:355,20.7016509306,13.4549159386
tile_RA20.940_DECp13.764:1115,21.1840352672,13.71382545
tile_RA20.940_DECp13.764:1443,20.9252619525,14.0125066103
tile_RA200.138_DECp35.227:887,200.1592382292,35.3628279526
tile_RA200.821_DECp16.236:286,201.1915398842,15.9691639916
tile_RA200.821_DECp17.236:132,200.535010202,16.8368847896
tile_RA200.821_DECp17.236:440,200.8475857382,17.0716322604
tile_RA200.821_DECp17.236:711,200.6830526044,17.2917368578
tile_RA200.821_DECp17.236:802,200.8406025108,17.1449011608
tile_RA200.821_DECp18.236:871,200.4597372626,18.5086730878
tile_RA200.823_DECp10.236:739,200.939480231,10.6993137633
tile_RA200.823_DECp10.236:1515,200.4494248012,10.3742346001
tile_RA200.823_DECp10.236:1638,200.7937881121,10.3030581912
tile_RA200.823_DECp11.236:480,200.5533418684,10.9921513671
tile_RA200.823_DECp11.236:966,200.8463347208,11.6226488129
tile_RA200.823_DECp11.236:1187,200.416286489,11.1925596885
tile_RA200.823_DECp11.236:1651,200.967569896,11.33319948
tile_RA200.823_DECp12.236:492,201.0037506113,12.0250537216
tile_RA200.835_DECp4.236:1827,200.9658959507,4.2592679983
tile_RA200.835_DECp5.236:1133,201.0190435961,5.1662628961
tile_RA200.835_DECp5.236:1233,200.4682564899,5.4888372064
tile_RA200.835_DECp6.236:575,200.4976419713,6.0455540606
tile_RA200.835_DECp6.236:985,200.6639033229,6.1554519382
tile_RA200.835_DECp6.236:1327,200.6407030532,6.4566347756
tile_RA200.835_DECp6.236:1406,200.3821932649,6.4204070144
tile_RA200.835_DECp6.236:1535,200.5884884043,6.3326746568
tile_RA200.835_DECp6.236:1616,200.7298932846,6.2995139735
tile_RA200.835_DECp6.236:1732,200.3868035123,6.2388317815
tile_RA200.859_DECm0.764:270,200.9109287709,-1.036020666
tile_RA200.859_DECm1.764:375,201.3084352003077,-1.932619991531147
tile_RA200.859_DECm1.764:484,200.8395411074386,-1.273545288332307
tile_RA200.859_DECp0.236:1068,200.7905532839,0.335456765
tile_RA200.859_DECp0.236:1160,200.3750895225,0.252399336
tile_RA200.890_DECp29.253:925,201.2949693312,29.1600435279
tile_RA200.890_DECp29.253:1011,201.0358020124,29.5611486873
tile_RA200.893_DECm6.764:969,200.9826907386,-6.3112498931
tile_RA200.893_DECm6.764:1792,200.4732514496,-6.6408938167
tile_RA200.893_DECm6.764:2105,200.7672114101,-6.796410013
tile_RA200.893_DECm7.764:1584,200.5639271904,-7.5665260973
tile_RA200.978_DECp51.243:463,201.0452370135,50.9810586748
tile_RA200.978_DECp51.243:1095,200.5937482087,51.1425975277
tile_RA200.978_DECp51.243:1844,200.6501680673,51.2170076602
tile_RA200.978_DECp52.243:379,200.5445097434,51.9419863972
tile_RA200.978_DECp52.243:1780,200.25373571,52.2519116937
tile_RA200.978_DECp54.243:22,200.9815421499,53.7553595882
tile_RA200.978_DECp54.243:348,200.5546468439,53.9407654595
tile_RA200.978_DECp54.243:1047,201.4331583655,54.3181943541
tile_RA200.978_DECp54.243:1210,200.5361673789,54.1391326377
tile_RA200.978_DECp55.243:337,201.5317972061,54.9099757665
tile_RA200.978_DECp55.243:636,200.2104455895,55.058329948
tile_RA200.978_DECp55.243:744,201.2593316193,55.1144711377
tile_RA200.978_DECp55.243:1135,201.6076397557,55.167237519
tile_RA200.978_DECp55.243:1142,200.8882945623,55.1666733382
tile_RA200.978_DECp55.243:1617,201.6092200386,55.3704481825
tile_RA200.978_DECp55.243:1856,200.9455160377,55.2714099825
tile_RA201.046_DECp23.253:593,201.0914396745,23.7345175487
tile_RA201.148_DECp65.223:687,201.7829827238,64.994614257
tile_RA201.148_DECp65.223:1167,202.290164412,65.1145541124
tile_RA201.370_DECp58.235:197,201.3571000437,57.8151070777
tile_RA201.370_DECp58.235:562,201.1382290348,57.9609937101
tile_RA201.370_DECp58.235:1582,202.1122470287,58.5159498172
tile_RA201.370_DECp59.235:1502,200.9386868218,59.5722814298
tile_RA201.370_DECp59.235:1512,201.7787611228,59.5449004796
tile_RA201.370_DECp59.235:2264,201.0324811679,59.2413924696
tile_RA201.370_DECp60.235:707,201.1200333572,60.0517557374
tile_RA201.370_DECp60.235:768,201.7168345567,60.0696880202
tile_RA201.370_DECp60.235:872,200.6850277056,60.1320349089
tile_RA201.413_DECp41.259:1506,201.385297403,41.3542671238
tile_RA201.738_DECp70.265:175,201.242609571,69.8678956113
tile_RA201.738_DECp70.265:201,201.394823939,69.8857490756
tile_RA201.738_DECp70.265:923,202.4093685474,70.2173116691
tile_RA201.738_DECp72.265:1012,202.6432094508,72.1946043876
tile_RA201.840_DECp5.236:310,202.1605023788,4.8989811747
tile_RA201.840_DECp5.236:394,201.5295899041,4.9496532519
tile_RA201.840_DECp5.236:561,201.8054313959,5.0387121835
tile_RA201.840_DECp5.236:1493,202.1524948335,5.1873286588
