src_id,ra,dec,tile_id,object_id,fwhm_image,fwhm_ratio,spread_model,spreaderr_model,spread_snr,psf_fwhm_median,psf_spread_median,psf_star_count,reject_flag,reject_reason,source_chunk
tile_RA334.288_DECp23.715:862,334.6408341726,23.4205466089,tile_RA334.288_DECp23.715,862,2.37769,0.837059,-0.00167608,0.00110515,-6.05683,2.84053,0.00501763,2099,0,,stage_S0.csv
tile_RA334.288_DECp23.715:2746,334.6490653219,24.0443022257,tile_RA334.288_DECp23.715,2746,2.52367,0.888452,0.000289982,0.000639202,-7.39618,2.84053,0.00501763,2099,0,,stage_S0.csv
tile_RA334.288_DECp24.715:2509,334.477079223,24.6439974182,tile_RA334.288_DECp24.715,2509,2.52269,0.883467,0.00251765,0.000820307,-3.50277,2.85545,0.00539099,2152,0,,stage_S0.csv
tile_RA334.288_DECp24.715:4169,333.7776693391,24.714710109,tile_RA334.288_DECp24.715,4169,5.84479,2.04689,0.0191933,0.0009579,14.4089,2.85545,0.00539099,2152,1,fwhm_ratio=2.047>1.5;spread_snr=14.4>5.0,stage_S0.csv
tile_RA334.449_DECp47.714:4805,334.0993641963,47.4455587002,tile_RA334.449_DECp47.714,4805,3.30715,1.56446,0.0119948,0.000761877,13.8488,2.11393,0.00144377,8104,1,fwhm_ratio=1.564>1.5;spread_snr=13.8>5.0,stage_S0.csv
tile_RA334.449_DECp48.714:6814,334.4971136355,48.539697001,tile_RA334.449_DECp48.714,6814,5.92705,2.74913,0.0338769,0.000436868,74.8222,2.15598,0.00118949,8470,1,fwhm_ratio=2.749>1.5;spread_snr=74.8>5.0,stage_S0.csv
tile_RA334.449_DECp48.714:9386,334.7541392999,48.6609777252,tile_RA334.449_DECp48.714,9386,2.01097,0.932742,0.000761549,0.00123795,-0.345684,2.15598,0.00118949,8470,0,,stage_S0.csv
tile_RA334.449_DECp48.714:16278,334.7967022459,48.976630637,tile_RA334.449_DECp48.714,16278,2.09241,0.970519,-0.000839379,0.000704396,-2.88029,2.15598,0.00118949,8470,0,,stage_S0.csv
tile_RA335.127_DECp36.742:2070,335.3343054438,36.4486436568,tile_RA335.127_DECp36.742,2070,2.31592,0.87237,-0.0015277,0.00110766,-3.22364,2.65475,0.002043,3312,0,,stage_S0.csv
tile_RA335.247_DECp60.703:10901,334.618288971,61.0747827936,tile_RA335.247_DECp60.703,10901,3.25802,1.32107,-0.000159171,0.000843445,-1.01577,2.4662,0.000697577,5035,0,,stage_S0.csv
tile_RA335.389_DECp24.715:3122,335.8680140653,24.9352436381,tile_RA335.389_DECp24.715,3122,5.31394,1.85033,0.0209519,0.00064092,24.1709,2.87189,0.00546028,2090,1,fwhm_ratio=1.850>1.5;spread_snr=24.2>5.0,stage_S0.csv
tile_RA335.389_DECp24.715:3431,335.0818966896,24.8624260068,tile_RA335.389_DECp24.715,3431,2.93092,1.02055,0.00624869,0.000748157,1.0538,2.87189,0.00546028,2090,0,,stage_S0.csv
