src_id,tile_id,object_id,ra,dec,profile_diff,circularity,area,shape_defect,circle_deviation,shape_confidence,elongation,stars_used,rej_profile_diff,rej_elongation,rej_circularity,reject_flag,reject_reason,shape_failed,failure_reason,source_chunk
tile_RA234.699_DECp11.535:2806,tile_RA234.699_DECp11.535,2806,234.4440050847,11.5762167443,0.013012,0.329396,11,0.439732,0.259841,low,1.18825,5,0,1,1,1,elongation=1.188>1.1;circularity=0.329<0.8,0,,stage_S0M_MORPH.csv
tile_RA234.699_DECp12.535:1058,tile_RA234.699_DECp12.535,1058,234.6354970727,12.3309461649,0.0133752,0.739839,8,0.178125,0.172715,low,1.11085,7,0,1,1,1,elongation=1.111>1.1;circularity=0.740<0.8,0,,stage_S0M_MORPH.csv
tile_RA234.699_DECp12.535:1792,tile_RA234.699_DECp12.535,1792,234.6670428204,12.8878972006,0.00870787,0.746888,13.5,0.0924479,0.170751,low,1.01633,5,0,0,1,1,circularity=0.747<0.8,0,,stage_S0M_MORPH.csv
tile_RA234.786_DECp5.536:1061,tile_RA234.786_DECp5.536,1061,234.7291422276,5.397070898,0.0237755,0.772284,10.5,0.110937,0.181148,low,1.28689,5,0,1,1,1,elongation=1.287>1.1;circularity=0.772<0.8,0,,stage_S0M_MORPH.csv
tile_RA234.786_DECp6.536:1227,tile_RA234.786_DECp6.536,1227,234.7170982304,7.0265632124,0.0110535,0.0338621,68.5,1.57719,0.221029,low,1.27352,2,0,1,1,1,elongation=1.274>1.1;circularity=0.034<0.8,0,,stage_S0M_MORPH.csv
tile_RA234.786_DECp6.536:1643,tile_RA234.786_DECp6.536,1643,235.1442662779,6.472840374,0.0138278,0.453346,15.5,0.278809,0.204477,low,1.11411,7,0,1,1,1,elongation=1.114>1.1;circularity=0.453<0.8,0,,stage_S0M_MORPH.csv
tile_RA234.786_DECp6.536:2804,tile_RA234.786_DECp6.536,2804,234.441611462,6.5648375323,0.010127,0.898353,7.5,1.12661,0.081912,low,1.14022,3,0,1,0,1,elongation=1.140>1.1,0,,stage_S0M_MORPH.csv
tile_RA234.857_DECp35.500:2434,tile_RA234.857_DECp35.500,2434,235.3995803141,35.5598431402,0.0550663,0.604609,15,0.0556641,0.11116,low,1.19525,5,1,1,1,1,profile_diff=0.0551>0.05;elongation=1.195>1.1;circularity=0.605<0.8,0,,stage_S0M_MORPH.csv
tile_RA234.860_DECm0.464:496,tile_RA234.860_DECm0.464,496,235.2023143054,-0.8231059266,0.0663816,0.183586,281.5,0.952381,0.219622,high,1.17196,2,1,1,1,1,profile_diff=0.0664>0.05;elongation=1.172>1.1;circularity=0.184<0.8,0,,stage_S0M_MORPH.csv
tile_RA234.860_DECm0.464:2173,tile_RA234.860_DECm0.464,2173,234.6381283916,-0.1297091999,0.0149225,0.717677,14,0.2,0.177048,low,1.19717,10,0,1,1,1,elongation=1.197>1.1;circularity=0.718<0.8,0,,stage_S0M_MORPH.csv
tile_RA234.860_DECm1.464:559,tile_RA234.860_DECm1.464,559,235.0307210826,-1.793355195,0.0247064,0.0919993,230.5,0.995164,0.18749,high,1.29641,4,0,1,1,1,elongation=1.296>1.1;circularity=0.092<0.8,0,,stage_S0M_MORPH.csv
tile_RA234.860_DECm1.464:1660,tile_RA234.860_DECm1.464,1660,234.8737526923,-1.0816524,0.0315,0.808518,12,0.0890625,0.154017,low,1.26386,8,0,1,0,1,elongation=1.264>1.1,0,,stage_S0M_MORPH.csv
tile_RA234.923_DECm5.463:1938,tile_RA234.923_DECm5.463,1938,235.1100908604,-5.0500156125,0.0294772,0.796495,9.5,0.0890625,0.124688,low,1.01685,6,0,0,1,1,circularity=0.796<0.8,0,,stage_S0M_MORPH.csv
tile_RA234.923_DECm6.463:539,tile_RA234.923_DECm6.463,539,234.8654699227,-6.8346812411,0.041209,0.0717785,103.5,1.40941,0.197182,high,1.22743,6,0,1,1,1,elongation=1.227>1.1;circularity=0.072<0.8,0,,stage_S0M_MORPH.csv
tile_RA234.923_DECm6.463:1454,tile_RA234.923_DECm6.463,1454,235.0607606959,-6.6136194556,0.0164047,0.880337,10.5,0.602679,0.127754,low,1.11978,9,0,1,0,1,elongation=1.120>1.1,0,,stage_S0M_MORPH.csv
tile_RA234.923_DECm7.463:2258,tile_RA234.923_DECm7.463,2258,235.0669736131,-7.1302082608,0.0091206,0.628812,7.5,0.267188,0.211965,low,1.24869,1,0,1,1,1,elongation=1.249>1.1;circularity=0.629<0.8,0,,stage_S0M_MORPH.csv
tile_RA234.923_DECm7.463:2362,tile_RA234.923_DECm7.463,2362,235.158936899,-7.5448776536,0.0196668,0.236337,11.5,0.510417,0.289148,low,1.29951,10,0,1,1,1,elongation=1.300>1.1;circularity=0.236<0.8,0,,stage_S0M_MORPH.csv
tile_RA234.923_DECm7.463:2772,tile_RA234.923_DECm7.463,2772,234.6200536203,-7.2535712446,0.0536901,0.393039,17,0.450684,0.226815,low,1.26538,7,1,1,1,1,profile_diff=0.0537>0.05;elongation=1.265>1.1;circularity=0.393<0.8,0,,stage_S0M_MORPH.csv
tile_RA235.054_DECp53.572:723,tile_RA235.054_DECp53.572,723,234.6222299093,53.3315608138,0.0376641,0.0730988,69,0.154018,0.202857,low,1.03856,6,0,0,1,1,circularity=0.073<0.8,0,,stage_S0M_MORPH.csv
tile_RA235.054_DECp53.572:955,tile_RA235.054_DECp53.572,955,234.54778445,53.4055075565,0.0327666,0.215097,123,0.846788,0.189222,high,1.23936,3,0,1,1,1,elongation=1.239>1.1;circularity=0.215<0.8,0,,stage_S0M_MORPH.csv
tile_RA235.116_DECp40.516:381,tile_RA235.116_DECp40.516,381,235.5634959964,40.2224512226,0.1325,0.829876,30,0.180664,0.10559,low,1.15037,2,1,1,0,1,profile_diff=0.1325>0.05;elongation=1.150>1.1,0,,stage_S0M_MORPH.csv
tile_RA235.116_DECp40.516:1040,tile_RA235.116_DECp40.516,1040,234.5464091974,40.6178324878,0.0102509,0.113177,37.5,1.00033,0.273479,low,1.03834,5,0,0,1,1,circularity=0.113<0.8,0,,stage_S0M_MORPH.csv
tile_RA235.116_DECp40.516:1166,tile_RA235.116_DECp40.516,1166,235.6057654201,40.4079350774,0.00862831,0.0404578,150.5,1.70219,0.222611,high,1.15055,2,0,1,1,1,elongation=1.151>1.1;circularity=0.040<0.8,0,,stage_S0M_MORPH.csv
tile_RA235.116_DECp41.516:531,tile_RA235.116_DECp41.516,531,235.5954868896,41.2653813544,0.0144912,0.0393618,131.5,1.52232,0.211248,high,1.2953,4,0,1,1,1,elongation=1.295>1.1;circularity=0.039<0.8,0,,stage_S0M_MORPH.csv
tile_RA235.116_DECp41.516:592,tile_RA235.116_DECp41.516,592,235.1844535702,41.2965836769,0.0304982,0.698733,9.5,0.0890625,0.152564,low,1.10296,8,0,1,1,1,elongation=1.103>1.1;circularity=0.699<0.8,0,,stage_S0M_MORPH.csv
tile_RA235.116_DECp41.516:634,tile_RA235.116_DECp41.516,634,235.3782096953,41.3193428746,0.0135604,0.45277,21,0.569336,0.179662,low,1.1161,5,0,1,1,1,elongation=1.116>1.1;circularity=0.453<0.8,0,,stage_S0M_MORPH.csv
