tile_id,plate_id,run_id,rows_to_S0
tile_RA112.787_DECp31.702,XE309,R1,1
tile_RA113.149_DECp57.703,XE088,R1,1
tile_RA113.149_DECp59.703,XE088,R1,2
tile_RA113.149_DECp60.703,XE088,R1,1
tile_RA113.149_DECp61.703,XE088,R1,2
tile_RA113.162_DECp34.682,XE256,R1,2
tile_RA113.162_DECp35.682,XE256,R1,2
tile_RA113.162_DECp36.682,XE256,R1,3
tile_RA113.185_DECp45.700,XE162,R1,2
tile_RA113.185_DECp46.700,XE162,R1,1
tile_RA113.185_DECp47.700,XE162,R1,3
tile_RA113.185_DECp48.700,XE162,R1,1
tile_RA113.479_DECp53.653,XE123,R1,1
tile_RA113.679_DECp40.675,XE207,R1,1
tile_RA113.679_DECp41.675,XE207,R1,1
tile_RA113.679_DECp42.675,XE207,R1,2
tile_RA113.765_DECm6.340,XE663,R1,2
tile_RA113.781_DECp23.703,XE365,R1,1
tile_RA113.939_DECp28.702,XE309,R1,4
tile_RA113.939_DECp29.702,XE309,R1,3
tile_RA113.939_DECp30.702,XE309,R1,4
tile_RA113.968_DECp11.659,XE483,R1,1
tile_RA113.993_DECp17.658,XE423,R1,1
tile_RA114.393_DECp33.682,XE256,R1,2
tile_RA114.393_DECp34.682,XE256,R1,14
tile_RA114.393_DECp35.682,XE256,R1,7
tile_RA114.393_DECp36.682,XE256,R1,2
tile_RA114.393_DECp37.682,XE256,R1,1
tile_RA114.670_DECp46.700,XE162,R1,1
tile_RA114.670_DECp48.700,XE162,R1,2
tile_RA114.771_DECm5.340,XE663,R1,1
tile_RA114.855_DECm0.340,XE603,R1,2
tile_RA114.855_DECm1.340,XE603,R1,1
tile_RA114.873_DECp23.703,XE365,R1,2
tile_RA114.989_DECp10.659,XE483,R1,5
tile_RA114.989_DECp11.659,XE483,R1,2
tile_RA114.989_DECp12.659,XE483,R1,1
tile_RA115.018_DECp39.675,XE207,R1,2
tile_RA115.018_DECp42.675,XE207,R1,4
tile_RA115.018_DECp43.675,XE207,R1,1
tile_RA115.043_DECp16.658,XE423,R1,2
tile_RA115.043_DECp17.658,XE423,R1,1
tile_RA115.043_DECp18.658,XE423,R1,2
tile_RA115.090_DECp29.702,XE309,R1,2
tile_RA115.132_DECp58.703,XE088,R1,2
tile_RA115.132_DECp59.703,XE088,R1,2
tile_RA115.132_DECp60.703,XE088,R1,1
tile_RA115.167_DECp52.653,XE123,R1,1
tile_RA115.167_DECp53.653,XE123,R1,2
tile_RA115.167_DECp54.653,XE123,R1,3
tile_RA115.504_DECp76.626,XE017,R1,1
tile_RA115.504_DECp77.626,XE017,R1,2
tile_RA115.504_DECp78.626,XE017,R1,1
tile_RA115.504_DECp79.626,XE017,R1,2
tile_RA115.589_DECp65.612,XE059,R1,1
tile_RA115.624_DECp34.682,XE256,R1,8
tile_RA115.624_DECp35.682,XE256,R1,6
tile_RA115.624_DECp36.682,XE256,R1,4
tile_RA115.778_DECm5.340,XE663,R1,2
tile_RA115.778_DECm6.340,XE663,R1,1
tile_RA115.778_DECm8.340,XE663,R1,1
tile_RA115.855_DECm0.340,XE603,R1,1
tile_RA115.855_DECm1.340,XE603,R1,2
tile_RA115.855_DECp0.660,XE603,R1,2
tile_RA116.010_DECp10.659,XE483,R1,1
tile_RA116.010_DECp11.659,XE483,R1,1
tile_RA116.010_DECp12.659,XE483,R1,2
tile_RA116.010_DECp9.659,XE483,R1,2
tile_RA116.092_DECp16.658,XE423,R1,2
tile_RA116.092_DECp17.658,XE423,R1,1
tile_RA116.092_DECp18.658,XE423,R1,2
tile_RA116.092_DECp19.658,XE423,R1,1
tile_RA116.156_DECp47.700,XE162,R1,3
tile_RA116.357_DECp40.675,XE207,R1,2
tile_RA116.357_DECp41.675,XE207,R1,2
tile_RA116.784_DECm5.340,XE663,R1,3
tile_RA116.784_DECm7.340,XE663,R1,1
tile_RA116.854_DECp51.653,XE123,R1,3
tile_RA116.854_DECp52.653,XE123,R1,1
tile_RA116.854_DECp53.653,XE123,R1,1
tile_RA116.854_DECp54.653,XE123,R1,3
tile_RA116.854_DECp55.653,XE123,R1,1
tile_RA116.855_DECm0.340,XE603,R1,1
tile_RA116.855_DECp35.682,XE256,R1,4
tile_RA116.964_DECp29.619,XE310,R1,4
tile_RA116.988_DECp2.551,XE543,R1,6
tile_RA116.988_DECp23.620,XE366,R1,1
tile_RA117.031_DECp11.659,XE483,R1,1
tile_RA117.031_DECp12.659,XE483,R1,1
tile_RA117.114_DECp59.703,XE088,R1,1
tile_RA117.141_DECp16.658,XE423,R1,1
tile_RA117.141_DECp17.658,XE423,R1,2
tile_RA117.141_DECp18.658,XE423,R1,1
tile_RA117.696_DECp41.675,XE207,R1,3
tile_RA117.790_DECm6.340,XE663,R1,1
tile_RA117.989_DECp2.551,XE543,R1,4
tile_RA117.989_DECp3.551,XE543,R1,1
tile_RA118.011_DECp64.612,XE059,R1,3
tile_RA118.011_DECp65.612,XE059,R1,4
tile_RA118.011_DECp66.612,XE059,R1,7
tile_RA118.052_DECp11.659,XE483,R1,1
tile_RA118.080_DECp22.620,XE366,R1,8
tile_RA118.080_DECp23.620,XE366,R1,1
tile_RA118.080_DECp24.620,XE366,R1,4
tile_RA118.114_DECp28.619,XE310,R1,6
tile_RA118.114_DECp29.619,XE310,R1,3
tile_RA118.191_DECp17.658,XE423,R1,2
tile_RA118.541_DECp52.653,XE123,R1,2
tile_RA118.541_DECp53.653,XE123,R1,1
tile_RA118.660_DECp47.593,XE163,R1,1
tile_RA118.901_DECp35.594,XE257,R1,1
